"Refs","Value","Footprint","Qty"
"C1","100n MCU","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1"
"C2","100n DRIVER","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1"
"C3","10n HOME filter","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1"
"C4","47u 10V","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1"
"J1","CHAIN_IN","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical","1"
"J2","CHAIN_OUT","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical","1"
"J3","28BYJ-48","Connector_JST:JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical","1"
"J4","HOME_SENSOR","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","1"
"J5","AVR_ISP_2X3","Connector_IDC:IDC-Header_2x03_P2.54mm_Vertical","1"
"J6","5V_INJECT","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","1"
"R1","10k HOME pull-up","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1"
"R2","10k RESET pull-up","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1"
"U1","ATtiny44A-SS","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","1"
"U2","ULN2003A","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","1"
