Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n MCU 1206","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",130.000000,-130.000000,0.000000,top
"C2","10u BULK 1206","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",160.000000,-120.000000,0.000000,top
"J1","CHAIN_RING","PinHeader_2x03_P2.54mm_Vertical_SMD",112.000000,-110.000000,0.000000,top
"J3","STEPPER_DRIVER_IN","PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Left",150.000000,-140.000000,0.000000,top
"J5","AVR_ISP_2X3","PinHeader_2x03_P2.54mm_Vertical_SMD",145.000000,-165.000000,0.000000,top
"JP5","0R CLOCK input jumper 1206","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",136.000000,-131.000000,-90.000000,top
"JP6","0R LATCH input jumper 1206","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",122.000000,-132.000000,-90.000000,top
"JP7","0R DATA input jumper 1206","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",122.000000,-143.000000,-90.000000,top
"JP8","0R CHAIN DATA_OUT jumper 1206","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",120.000000,-119.000000,90.000000,top
"JP16","0R CLOCK MCU bridge 1206","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",136.000000,-140.500000,-90.000000,top
"JP17","0R DATA chain bridge 1206","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",111.500000,-136.000000,-90.000000,top
"JP18","0R MCU power bridge 1206","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",125.000000,-127.000000,-90.000000,top
"JP19","0R CHAIN power bridge 1206","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",122.000000,-106.000000,45.000000,top
"JP20","0R ISP VCC bridge 1206","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",160.000000,-150.000000,90.000000,top
"R2","10k RESET pull-up 1206","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",120.000000,-136.000000,0.000000,top
"U1","ATtiny44A-SS","SOIC-14_3.9x8.7mm_P1.27mm",130.000000,-138.000000,0.000000,top
